requirement,status,units,code,verifications,delegatedTo,provenance
REQ-EMG-012,implemented,FU-ALLOCATION-TRACE FU-ASCIIDOC-GENERATOR FU-CODEMAP-INFERENCE FU-GEMARA-EXPORTER FU-LOBSTER-EXPORTER FU-OSCAL-EXPORTER FU-STRUCTURIZR-EXPORTER FU-SYSML-EXPORTER FU-THREAT-EXPORTER FU-TRLC-EXPORTER FU-VALIDATION-ENGINE,gemara_oscal.go:248 render/svg/render.go:107 coffee_six_view_test.go:85 gemara_oscal.go:310 structurizr_export.go:495 structurizr_export.go:503 oscal_ap.go:54 oscal_ap.go:40 asciidoc_linking_units.go:100 gemara_oscal.go:230 gemara_oscal.go:336 gemara_oscal.go:274 generation_time.go:55 render/svg/render.go:25 gemara_export.go:197 generation_time.go:14 inferred_code.go:135 validate/diagnostic.go:24 structurizr_export.go:490 render/svg/render.go:91 coffee_six_view_test.go:16 gemara_export_test.go:138 lobster_export_test.go:13 lobster_export_test.go:62 oscal_chain_test.go:11 oscal_chain_test.go:75 oscal_ssp_test.go:70 threat_model_export_test.go:54,VER-INF-TEST-COFFEE_SIX_VIEW_TEST-4B177C VER-INF-TEST-GEMARA_EXPORT_TEST-45C982 VER-INF-TEST-LOBSTER_EXPORT_TEST-1C1C7E VER-INF-TEST-OSCAL_CHAIN_TEST-C12EF9 VER-INF-TEST-OSCAL_SSP_TEST-4B08EF VER-INF-TEST-THREAT_MODEL_EXPORT_TEST-721A8D,,
REQ-EMG-013,implemented,FU-CLI-ORCHESTRATION FU-OSCAL-EXPORTER,oscal_ssp.go:484 oscal_ssp.go:441 oscal_compliance.go:330 oscal_compliance.go:220 gemara_oscal.go:248 oscal_ssp_test.go:180 oscal_ssp.go:527 oscal_ssp.go:430 oscal_ssp.go:191 oscal_compliance.go:242 gemara_oscal.go:310 oscal_compliance.go:357 oscal_ap.go:54 oscal_ap.go:40 oscal_ar.go:133 oscal_ar.go:106 oscal_poam.go:90 oscal_poam.go:76 oscal_profile.go:58 oscal_profile.go:42 oscal_ssp.go:211 oscal_ssp.go:197 oscal_compliance.go:236 oscal_compliance.go:298 oscal_compliance.go:131 oscal_compliance.go:203 oscal_compliance.go:158 cmd/engoscal/main.go:17 gemara_oscal.go:230 oscal_compliance.go:305 oscal_compliance.go:317 gemara_oscal.go:150 gemara_oscal.go:191 gemara_oscal.go:336 gemara_oscal.go:274 generation_time.go:55 oscal_ssp.go:537 gemara_oscal.go:208 oscal_ap.go:113 cmd/engoscal/main.go:198 oscal_compliance.go:248 oscal_compliance.go:266 oscal_compliance.go:62 oscal_compliance.go:279 oscal_ssp.go:61 oscal_compliance.go:375 oscal_chain_test.go:11 oscal_chain_test.go:32 oscal_chain_test.go:54 oscal_chain_test.go:75 oscal_profile_test.go:11 oscal_ssp_test.go:16 oscal_ssp_test.go:82 oscal_ssp_test.go:123 oscal_ssp_test.go:70 oscal_ssp_test.go:102 oscal_profile_test.go:28 oscal_compliance.go:368 oscal_compliance.go:342 oscal_ssp_test.go:145,VER-INF-TEST-OSCAL_CHAIN_TEST-C12EF9 VER-INF-TEST-OSCAL_PROFILE_TEST-9234C6 VER-INF-TEST-OSCAL_SSP_TEST-4B08EF,,
REQ-EMG-014,implemented,FU-ASCIIDOC-GENERATOR FU-CLI-ORCHESTRATION,asciidoc_backlinks.go:18 asciidoc_decisions.go:13 asciidoc.go:53 asciidoc.go:31 cmd/engdoc/main.go:37 asciidoc_decisions.go:41 asciidoc_test.go:139 asciidoc_test.go:115 asciidoc_test.go:69 asciidoc_test.go:175 asciidoc_test.go:206 asciidoc_test.go:246,VER-INF-TEST-ASCIIDOC_TEST-F60765,,
REQ-EMG-015,implemented,FU-CLI-ORCHESTRATION FU-GEMARA-EXPORTER FU-MCP-SERVER,gemara_export.go:745 gemara_export_test.go:286 gemara_export_test.go:210 gemara_export_test.go:197 gemara_export_test.go:268 gemara_export_test.go:250 gemara_export.go:570 gemara_extended.go:162 gemara_export.go:346 gemara_export.go:463 gemara_extended.go:85 gemara_extended.go:241 gemara_l1l3.go:50 gemara_extended.go:42 gemara_l1l3.go:122 gemara_l1l3.go:28 gemara_export.go:604 gemara_export.go:389 gemara_export.go:307 gemara_oscal.go:248 gemara_evaluation.go:190 gemara_export.go:810 gemara_export.go:819 gemara_extended.go:149 gemara_export.go:666 gemara_export.go:871 gemara_oscal.go:310 gemara_extended.go:316 mcp/gemara.go:58 gemara_evaluation.go:59 asciidoc_gemara.go:99 asciidoc_gemara.go:105 mcp/gemara.go:109 gemara_export.go:102 gemara_evaluation.go:67 gemara_evaluation.go:34 gemara_export.go:87 gemara_oscal.go:110 gemara_oscal.go:84 gemara_oscal.go:48 gemara_oscal.go:32 gemara_l1l3.go:74 gemara_l1l3.go:109 gemara_export.go:758 gemara_extended.go:305 gemara_oscal_test.go:80 gemara_export.go:715 gemara_export.go:762 cmd/enggemara/main.go:20 gemara_export.go:828 gemara_export.go:837 gemara_evaluation.go:204 gemara_oscal.go:230 gemara_export.go:219 gemara_export.go:238 gemara_export.go:741 gemara_export.go:268 gemara_export.go:287 gemara_oscal.go:150 gemara_oscal.go:191 gemara_oscal.go:336 gemara_oscal.go:274 generation_time.go:55 gemara_oscal.go:208 gemara_l1l3.go:222 gemara_l1l3.go:241 gemara_l1l3.go:191 gemara_l1l3.go:176 gemara_l1l3.go:208 asciidoc_gemara.go:18 gemara_export.go:197 gemara_export.go:685 gemara_export.go:850 gemara_export.go:881 gemara_extended.go:327 gemara_extended.go:28 gemara_export_test.go:28 gemara_export_test.go:138 gemara_export_test.go:153 gemara_oscal_test.go:16 gemara_oscal_test.go:69 gemara_export.go:794 gemara_export.go:768 gemara_export.go:780,VER-INF-TEST-GEMARA_EXPORT_TEST-45C982 VER-INF-TEST-GEMARA_OSCAL_TEST-58DBDA,,
REQ-EMG-016,implemented,FU-MODEL-LOADER FU-SYSTEM-COMPOSITION,mcp/composition.go:23 mcp/composition.go:143 composition.go:112 composition.go:105 composition.go:173 mcp/composition_test.go:15,VER-INF-TEST-COMPOSITION_TEST-AB66B8,,
REQ-EMG-017,implemented,FU-SYSTEM-COMPOSITION,composition.go:392,,,
REQ-EMG-018,implemented,FU-SYSTEM-COMPOSITION FU-VALIDATION-ENGINE,composition.go:173,,,
REQ-EMG-019,implemented,FU-ALLOCATION-TRACE FU-SYSTEM-COMPOSITION,composition.go:909 composition.go:681,,,
REQ-EMG-020,implemented,FU-ALLOCATION-TRACE,mcp/composition.go:23 composition.go:636,,,
REQ-EMG-021,implemented,FU-ALLOCATION-TRACE FU-VALIDATION-ENGINE,composition.go:681,,,
REQ-EMG-022,implemented,FU-ALLOCATION-TRACE FU-VALIDATION-ENGINE,composition.go:863 composition.go:876 composition.go:884 composition.go:681,,,
REQ-EMG-023,implemented,FU-ALLOCATION-TRACE FU-VALIDATION-ENGINE,asciidoc_composition.go:299,,,
REQ-EMG-024,implemented,FU-ASCIIDOC-GENERATOR FU-VIEW-PROJECTION,asciidoc_composition.go:184 composition.go:897 asciidoc_composition.go:323 asciidoc_composition.go:342 asciidoc_composition.go:21,,,
REQ-EMG-025,implemented,FU-ALLOCATION-TRACE FU-ASCIIDOC-GENERATOR,asciidoc_composition.go:210 composition.go:636 asciidoc_composition.go:21,,,
REQ-EMG-026,implemented,FU-ALLOCATION-TRACE FU-ASCIIDOC-GENERATOR FU-VALIDATION-ENGINE,asciidoc_diagrams_core.go:22 asciidoc_diagrams_core.go:663 asciidoc_composition.go:210 composition.go:884 mcp/composition.go:88,,,
REQ-EMG-027,orphan,FU-MODEL-LOADER FU-SYSTEM-COMPOSITION,,,,
REQ-EMG-028,implemented,FU-ALLOCATION-TRACE FU-CODEMAP-INFERENCE FU-VALIDATION-ENGINE,trace_matrix.go:443 trace_matrix.go:109 trace_matrix.go:97 trace_matrix_test.go:18 trace_matrix.go:299,VER-INF-TEST-TRACE_MATRIX_TEST-9FB80C,,
REQ-EMG-029,implemented,FU-ALLOCATION-TRACE FU-VALIDATION-ENGINE,trace_matrix_test.go:70 trace_matrix_test.go:45 trace_matrix.go:299,VER-INF-TEST-TRACE_MATRIX_TEST-9FB80C,,
REQ-EMG-030,implemented,FU-ALLOCATION-TRACE FU-CODEMAP-INFERENCE,trace_matrix.go:358 trace_matrix.go:443 trace_matrix.go:556 trace_matrix.go:206 cmd/engtrace/main.go:17 trace_matrix.go:223 trace_matrix.go:283 trace_matrix_test.go:84 mcp/composition_test.go:15 trace_matrix_test.go:112 mcp/composition.go:88,VER-INF-TEST-COMPOSITION_TEST-AB66B8 VER-INF-TEST-TRACE_MATRIX_TEST-9FB80C,,
REQ-EMG-031,implemented,FU-MODEL-CHANGE FU-MODEL-LOADER,requirements_delta.go:77 requirements_delta.go:510 requirements_delta.go:160 cmd/engchange/main.go:16 requirements_delta.go:188 requirements_delta.go:114 requirements_delta.go:62 requirements_delta_test.go:281 requirements_delta_test.go:222 requirements_delta_test.go:15 requirements_delta_test.go:263 requirements_delta_test.go:353 requirements_delta_test.go:80 requirements_delta_test.go:97 cmd/engchange/main.go:80 requirements_delta.go:297 requirements_delta_test.go:468 requirements_delta_test.go:476 requirements_delta_test.go:369,VER-INF-TEST-REQUIREMENTS_DELTA_TEST-64E119,,
